stdio    D E:\LIBS\LIBS71Build\allegro\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Dropbox\Programs\SwiftForth_3.5.3\SwiftForth\bin\allegro5.cfg r
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23048] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23051] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23053] added dtor for sample_instance 2205C7B8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23056] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23059] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23061] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23063] added dtor for sample_instance 2205C8C8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23065] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23068] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23069] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23072] added dtor for sample_instance 2205C9D8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23074] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23076] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23077] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23079] added dtor for sample_instance 2205CAE8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23082] sample matrix:
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23085] 
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.23087] 
dtor     D E:\LIBS\LIBS71Build\allegro\src\dtor.c:196  _al_register_destructor          [   0.23090] added dtor for sample_instance 2205DCE8, func 6787C7C3
audio    D E:\LIBS\LIBS71Build\allegro\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.23092] sample matrix:
